pubmed_id_list,min_publication_date
36398858,2022 Dec 15
36538041,2023 Mar
36779422,2023 Mar 3
37536630,2023 Sep
37689310,2023 Oct
12360400,2002 Oct 3
2900140,1988 Aug 1
"12360400,16326698,19061860",2002 Oct 3
"2900138,11052978",1988 Aug 1
"2900138,7907095,11052978",1994 Mar 4
19322201,2009 May 6
20085763,2010 Feb 19
24255178,2013 Nov 19
25147182,2014 Oct 17
28330616,2017 Apr 26
30995489,2019 Apr 16
"33961781,37689310",2021 May 27
35044719,2022 Jan
35140242,2022 Feb 9
36243803,2022 Nov
37232246,2023 Jun 15
"9148944,12413941,14532170,14613924",2002 Nov 1
15159392,2004 Jul 30
15840729,2005 Apr 26
19615732,2009 Jul 23
23752268,2013
"26058080,31056398,32628020",2019 May 13
30097533,2018 Dec
30442662,2018 Dec 4
30462309,2019 Feb 20
30669930,2019 Jun
31081062,2019 Jun
32867711,2020 Aug 31
34133714,2021 Jul 9
"3597357,8823176",1987 Jun 15
16236267,2005 Dec 2
26638075,2015 Dec 3
"28380382,33957083",2017 Apr 4
28561026,2017 May 31
30619736,2018
"31182584,35124280",2019 Jun 25
31932471,2020 Mar
32393512,2020 Jul 1
35918402,2022 Aug 2
"9599005,18227065",1998 Apr 17
16212417,2005 Sep-Oct
18337751,2008 Apr 9
22093833,2011 Dec 9
22304920,2012 Feb 3
25693804,2015 Sep
"25811481,31108370",2015
"26186194,28514442,32877691,33961781",2015 Jul 16
"26186194,29568061",2015 Jul 16
26906416,2016 Apr 1
27565346,2016 Aug 25
31280863,2019 Sep 3
31615875,2019 Dec 2
33644029,2020
35013556,2022 Jan
35124280,2022 Apr 15
35562734,2022 May 13
9599005,1998 Apr 17
16611982,2006 May
17353931,2007
17371050,2007 Apr 10
21081666,2011 Feb
22057399,2011 Dec 30
22145905,2012 Mar 15
"22939629,26344197,31536960",2012 Aug 31
"24486017,29128334,34079125",2014 Feb 20
24486017,2014 Feb 20
25458010,2014 Nov 24
25864199,2015 May 22
27591049,2016 Sep 15
28031328,2017 Mar 15
29395067,2018 Feb 1
"29467282,36424410,36708875",2022 Dec
29511337,2018 Nov
30196744,2019 Feb
30773093,2019 Mar
"31536960,32877691",2020 Sep 1
32203420,2020 Apr
32249768,2020 Apr 6
32344865,2020 Apr 25
32460013,2020 May 26
32941674,2020 Nov
33762435,2021 Mar 24
34244482,2021 Jul 9
36057605,2022 Sep 3
36373674,2022 Nov 14
21044950,2011 Feb
"21988832,25416956",2011 Oct 11
30585266,2018
34745083,2021
16331323,2005 Dec
12518221,2003 Jan
15733928,2005 Mar 18
10842183,2000 Sep 15
15471860,2004 Dec 17
33001583,2020 Nov
11802773,2002 Feb 1
9360943,1997 Nov 14
11739374,2002 Feb 15
"11802773,12578970,33961781",2002 Feb 1
12578970,2003 Feb 18
15952105,2005 Jun
36629882,2023 Mar
11512022,2001 Aug
"11739374,11802773,12578970",2002 Feb 1
12427014,2002 Nov 19
12524166,2003 Jan 30
10837146,2000 Jun 15
15474030,2004 Oct 8
7085778,1982
11804574,2002 Jan 17
12609505,2003 Mar
"16009940,33024031",2005 Jul 19
"17353931,30711629",2007
"17353931,27664236",2007
"17550899,23314748,27182664",2007 Aug 10
17955473,2007 Nov
19019082,2009 Jan
"19380743,31980649",2009 May 5
20811636,2010 Aug 25
"21145461,27664236,35563538",2010 Dec 10
"21145461,35831314",2010 Dec 10
21653829,2011 Jun 8
"22863883,34728620",2012 Sep
"23125841,36232890",2022 Sep 30
"23932781,27664236",2013 Aug 22
23932781,2013 Aug 22
24169447,2013 Oct 30
24337577,2014 Jan 24
24399297,2014 Jan 7
24550385,2014 Mar 28
25277207,2014 Sep 15
"25720964,29346117",2015 Mar
25756610,2015 Mar 10
25959826,2015 May 19
26217791,2015 Sep
"26344197,33239621,35831314",2015 Sep 17
26693507,2015 Dec
27432908,2016 Sep
27664236,2016 Sep 1
"27664236,33961781",2016 Sep 1
27892457,2016 Nov 28
28079882,2017 Jan 12
28137758,2017 Mar 15
"28330616,35831314",2017 Apr 26
28533407,2017 Jun 6
29053956,2017 Oct 19
"29111377,30455355",2019 Jan 11
29149599,2017 Nov 16
29331416,2018 Apr 1
"29467282,35013218,36424410",2018 Apr
29669786,2018 Oct 9
29872149,2018 Jun
"30110629,33742100",2018 Aug 14
31067453,2019 May 7
31239290,2019 Sep
31417184,2019 Nov
31665637,2019 Oct 29
32683582,2021 Jul
32698014,2020 Jul 21
32888949,2021 Jan
"32929329,35256949,35509820",2022 Feb
33783327,2021 Dec
34645483,2021 Oct 13
35356984,2022 Mar 31
35546148,2022 May 11
35676659,2022 Jun 8
35681168,2022 Jun 9
35785414,2022 Aug 3
36261009,2022 Oct 18
36266428,2022 Oct 20
36346305,2023 Feb 1
36376293,2022 Nov 14
10653665,2000 Feb 8
"9116495,10653665",1997 Feb
8764614,1996 Aug
"19762596,24778179,31229404",2009 Oct 30
34591612,2021 Oct
7521127,1994 Aug
30824926,2019 Apr 1
31900314,2020 Mar
32918875,2020 Nov 23
15782160,2005 Jan
11739644,2001 Nov
"12601813,27684187",2003 Feb
16159877,2005 Dec 23
26839216,2016 Feb 3
"27684187,31536960",2016 Sep 28
28380382,2017 Apr 4
"29128334,31536960",2017 Dec 27
35008187,2021 Dec 21
36527092,2022 Dec 17
16396496,2006 Jan
"20178365,22002062,28724525,30378028",2010 Mar 24
22002062,2011 Dec 30
29478914,2018 Mar 12
31266804,2019 Aug 23
10856712,2000 Jun 26
9299573,1997 Sep 18
9499402,1998 Mar 1
10608891,1999 Dec 31
11976341,2002 Jul 5
12167657,2002 Oct 18
12438242,2002 Nov 15
16189514,2005 Oct 20
28378594,2017 May 5
"28675297,29117568",2017 Aug 4
30110629,2018 Aug 14
31067491,2019 Jul
32640226,2020 Jul 7
"32929329,35256949",2020
36779763,2023 Feb 28
1304913,1992 Jun
9038134,1997 Feb 28
11971983,2002 May
"16196087,21987572",2011 Dec 2
"22268729,33961781",2012 Mar 2
"33545068,33961781",2021 Mar 18
34048709,2021 Jul 12
24706805,2014 Apr 15
12009023,2002 May
"2808373,8195113",1989 Oct 25
9804805,1998 Nov 13
16196087,2005 Nov
25324306,2014 Nov 10
"28675297,33961781",2017 Aug 4
"9705354,10851066,11067847",2000 May 18
"8407898,9584847,9804805,10639192,12525165",1997
1544421,1992 Feb 17
2161834,1990 Jun 15
2395459,1990 Sep 6
"8395021,10583954",1999 Dec 3
8399167,1993 Sep 28
8416954,1993 Jan 5
8999969,1997 Jan 24
"9153421,11812134",1997 May 13
9695962,1998 Jul
10320340,1999 May 11
10806479,2000 May
11053353,2000 Nov
11102443,2001 Mar 2
11297527,2001 May 11
11441066,2001 Jul 15
11580270,2001 Aug
11687588,2002 Jan 4
11691822,2001 Nov 1
11897493,2002 Jun
"11950878,21723825",2011 Jul 6
"12062430,35831314",2002 Apr 24
12384700,2002 Oct 17
12417592,2003 Jan 10
12438125,2002 Oct
12554937,2003 Feb
12695497,2003 Apr 14
12721663,2003 May
12878163,2003 Aug 1
14506234,2003 Dec 5
14507647,2003 Oct
14592989,2003 Nov 3
14594945,2004 Feb 13
14634002,2004 Feb 6
14668487,2004 Mar
14676314,2003 Jun
14688263,2004 Mar 12
14690596,2003 Dec
14966270,2004 Mar
15059972,2004 Jun
15107502,2004 May 4
15149849,2004 Jun 10
15558034,2004 Dec
