I#ID	Name
G1034	CST2
G1035	CST3
G1036	CST4
G1037	CST5
G1038	CST6
G1039	CSTA
G1040	CSTB
G1041	CSTF1
G1042	CSTF2
G1043	CSTF3
G1044	NKX2-5
G1045	CTAG1B
G1046	CTBS
G1047	CTBP1
G1048	CTBP2
G1049	CTF1
G1050	CCN2
G1051	CTH
G1052	CTLA4
G1053	CTNNA1
G1054	CTNNA2
G1055	CTNS
G1056	CTNNB1
G1057	CTNND1
G1058	CTNND2
G1059	CTPS1
G1060	CTRB1
G1061	CTRL
G1062	CTSB
G1063	CTSD
G1064	CTSE
G1065	CTSG
G1066	CTSH
G1067	CTSK
G1068	CTSL
G1069	CTSV
G1070	CTSO
G1071	CTSS
G1072	CTSW
G1073	CTSZ
G1074	CUX1
G1075	CX3CR1
G1076	CXADR
G1077	TEX28
G1078	CYB5A
G1079	CYB561
G1080	CYBA
G1081	CYBB
G1082	CYC1
G1083	CYLC1
G1084	CYLC2
G1085	CYLD
G1086	CYP1A1
G1087	CYP1A2
G1088	CYP1B1
G1089	CYP2A6
G1090	CYP2A7
G1091	CYP3A7
G1092	CYP2A13
G1093	CYP2B6
G1094	CYP2C19
G1095	CYP2C8
G1096	CYP2C9
G1097	CYP2C18
G1098	CYP2D6
G1099	CYP2E1
G1100	CYP2J2
G1101	CYP3A4
G1102	CYP3A5
G1103	CYP4A11
G1104	CYP4B1
G1105	CYP8B1
G1106	CYP11A1
G1107	CYP11B1
G1108	CYP11B2
G1109	CYP17A1
G1110	CYP19A1
G1111	CYP21A2
G1112	CYP24A1
G1113	CYP26A1
G1114	CYP27A1
G1115	CYP27B1
G1116	CYP51A1
G1117	DAB1
G1118	DAB2
G1119	DACH1
G1120	DAD1
G1121	CD55
G1122	DAG1
G1123	DGKA
G1124	DGKB
G1125	DGKG
G1126	DGKQ
G1127	DAO
G1128	DAP
G1129	DAPK1
G1130	DAPK3
G1131	DARS1
G1132	DAXX
G1133	DAZ1
G1134	DAZL
G1135	BRINP1
G1136	DBH
G1137	DBI
G1138	DBN1
G1139	DBP
G1140	DBT
G1141	DCC
G1142	ECI1
G1143	DCK
G1144	DCN
G1145	DCTD
G1146	ACE
G1147	DCT
G1148	DCTN1
G1149	DCX
G1150	DDB1
G1151	DDB2
G1152	DDC
G1153	AKR1C1
G1154	AKR1C2
G1155	GADD45A
G1156	DDIT3
G1157	DDOST
G1158	DDT
G1159	DDX1
G1160	DDX3X
G1161	DDX5
G1162	DDX6
G1163	DMXL1
G1164	DHX8
G1165	DHX9
G1166	DDX10
G1167	DDX11
G1168	DHX15
G1169	DECR1
G1170	DEFA1
G1171	DEFA3
G1172	DEFA5
G1173	DEFA6
G1174	DEFB1
G1175	DEFB4A
G1176	DES
G1177	CFD
G1178	DFFA
G1179	DFFB
G1180	TIMM8A
G1181	GSDME
G1182	COCH
G1183	DGUOK
G1184	DHCR7
G1185	DHCR24
G1186	DHFR
G1187	DHODH
G1188	DHPS
G1189	CYB5R3
G1190	NQO1
G1191	DIAPH1
G1192	DIAPH2
G1193	SEPTIN1
G1194	DIO1
G1195	DIO2
G1196	DIO3
G1197	DKC1
G1198	DLAT
G1199	DLD
G1200	DLG1
G1201	DLG2
G1202	DLG3
G1203	DLG4
G1204	DLST
G1205	DLSTP1
G1206	DLX1
G1207	DLX2
G1208	DLX3
G1209	DLX4
G1210	DLX5
G1211	DLX6
G1212	DMBT1
G1213	DMD
G1214	SARDH
G1215	DMP1
G1216	DNM1
G1217	DMPK
G1218	DMRT1
G1219	DMWD
G1220	DNA2
G1221	DNAH5
G1222	DNAH6
G1223	DNAH8
G1224	DNAH9
G1225	DNASE1
G1226	DNASE1L1
G1227	DNASE1L2
G1228	DNASE1L3
G1229	DNASE2
G1230	DYNC1H1
G1231	DYNC1I1
G1232	DYNC1I2
G1233	DYNC1LI2
G1234	DNM2
G1235	DNMT1
G1236	TRDMT1
G1237	DNMT3A
G1238	DNMT3B
G1239	DNTT
G1240	DOCK1
G1241	DOCK2
G1242	DOCK3
G1243	DOK1
G1244	DXO
G1245	DPAGT1
G1246	DPEP1
G1247	DPH1
G1248	DPH2
G1249	DPP4
G1250	DPP6
G1251	DPT
G1252	DPYD
G1253	DPYS
G1254	DPYSL2
G1255	DPYSL3
G1256	DR1
G1257	DRD1
G1258	DRD2
G1259	DRD3
G1260	DRD4
G1261	DRD5
G1262	DRG2
G1263	ARID3A
G1264	DRP2
G1265	ATN1
G1266	DSC1
G1267	DSC2
G1268	DSC3
G1269	DSCAM
G1270	RCAN1
G1271	DSG1
G1272	DSG2
G1273	DSG3
G1274	TSC22D3
G1275	DSP
G1276	EPYC
G1277	DSPP
G1278	SLC26A2
G1279	DTNA
G1280	DTNB
G1281	HBEGF
G1282	DTX1
G1283	DTYMK
